sequence_id,sequence_type,event_position,endpoint,event_type,status_code,response_time
48,healthy,3,/health,normal,200,0.0696
48,healthy,4,/health,normal,200,0.0224
48,healthy,5,/,normal,200,0.0575
49,healthy,1,/,normal,200,0.0071
49,healthy,2,/,normal,200,0.0506
49,healthy,3,/,normal,200,0.0587
49,healthy,4,/,normal,200,0.0127
49,healthy,5,/,normal,200,0.0102
50,healthy,1,/health,normal,200,0.0696
50,healthy,2,/health,normal,200,0.0128
50,healthy,3,/health,normal,200,0.018
50,healthy,4,/,normal,200,0.0197
50,healthy,5,/health,normal,200,0.028
